contrast,treatment,reference,dataset,metric,delta
topology_affinity_increment,topology_full,gate_coupled,TabulaSapiens_Pancreas,acc,-0.0011334655709831498
topology_affinity_increment,topology_full,gate_coupled,Blood_BoneMarrow,nmi,0.006264100491256364
topology_affinity_increment,topology_full,gate_coupled,Human_Pancreas_1,nmi,-0.0008176804278001715
topology_affinity_increment,topology_full,gate_coupled,Human_Pancreas_3,nmi,-0.014848778897830428
topology_affinity_increment,topology_full,gate_coupled,Mouse_Pancreas_1,nmi,0.0006085513801301623
topology_affinity_increment,topology_full,gate_coupled,PRJNA895163,nmi,0.005363255857101068
topology_affinity_increment,topology_full,gate_coupled,TabulaSapiens_Pancreas,nmi,-0.0015271370205689472
topology_affinity_increment,topology_full,gate_coupled,Blood_BoneMarrow,ari,0.007663293004717353
topology_affinity_increment,topology_full,gate_coupled,Human_Pancreas_1,ari,-0.0005512429416258957
topology_affinity_increment,topology_full,gate_coupled,Human_Pancreas_3,ari,-0.04224138417933099
topology_affinity_increment,topology_full,gate_coupled,Mouse_Pancreas_1,ari,0.0002075255645089813
topology_affinity_increment,topology_full,gate_coupled,PRJNA895163,ari,0.011435014026734414
topology_affinity_increment,topology_full,gate_coupled,TabulaSapiens_Pancreas,ari,-0.0021402361188398444
topology_affinity_increment,topology_full,gate_coupled,Blood_BoneMarrow,f1_macro,0.017493456756883352
topology_affinity_increment,topology_full,gate_coupled,Human_Pancreas_1,f1_macro,-7.313745495562962e-05
topology_affinity_increment,topology_full,gate_coupled,Human_Pancreas_3,f1_macro,-0.02794629984799779
topology_affinity_increment,topology_full,gate_coupled,Mouse_Pancreas_1,f1_macro,0.00010470330499523506
topology_affinity_increment,topology_full,gate_coupled,PRJNA895163,f1_macro,0.0044469205355870955
topology_affinity_increment,topology_full,gate_coupled,TabulaSapiens_Pancreas,f1_macro,-0.025298952152464693
